TeamID,AST,BLK,DRB,ORB,PTS,STL,TOV,TS,Team,Year,aAST,aBLK,aDRB,aORB,aPTS,aSTL,aTOV,aTS,PAG,PPG,W,Ring
0,0.260926534,0.077638528,0.292707272,-0.025481852,3.066586546,-0.063418318,-0.091954175,2.50258581,Phoenix Suns,2005,-0.005341158,-0.081214208,0.1465957,0.355091601,1.501491053,0.015308139,-0.08331252,-1.080079557,1.062757202,1.135919333,62,0
1,0.372588584,-0.118485842,0.010689017,0.054685773,1.513490592,0.082601286,-0.166395542,0.709508996,Sacramento Kings,2005,0.030425523,-0.048308863,0.12084369,0.167674197,1.075067594,0.008154803,0.021126186,0.17449347,1.04526749,1.0669822,50,0
2,-0.19287949,0.089091046,0.118056373,0.007444137,1.230595154,0.131274487,-0.124880165,0.956945599,Dallas Mavericks,2005,-0.043969172,0.000333822,0.027850322,0.12475418,-0.108107356,-0.046210551,0.126995559,-0.667970944,0.995884774,1.054635251,58,0
3,0.064802164,0.107701388,0.27409693,-0.140007032,1.009936713,-0.126407167,-0.089091046,1.774956422,Miami Heat,2005,-0.17845189,-0.192806251,-0.072296383,-0.089845901,-0.534530815,-0.007582536,-0.149123212,-1.248864597,0.977366255,1.044346126,59,0
4,0.093433459,0.034691586,-0.013647584,-0.108512608,0.944870762,0.072580333,0.154274961,1.322635983,Boston Celtics,2005,0.163477573,0.004625824,-0.029376367,0.077542163,0.789784294,0.139776186,0.125564892,0.202697057,1.032921811,1.042288301,45,0
5,-0.260163033,-0.074107335,-0.105267728,0.212157895,0.766646636,0.142727005,-0.024670632,-0.403507965,Washington Wizards,2005,0.20067492,0.018932496,0.089369012,0.046067484,0.894888667,-0.043349216,0.167054241,0.734080489,1.037037037,1.034057002,45,0
6,-0.106985605,-0.117054277,-0.005058195,-0.201564316,0.588422511,0.006728354,-0.146353636,0.610595725,Toronto Raptors,2005,0.099097549,-0.055462199,0.389809125,0.008870137,1.024016898,-0.156371926,-0.010348493,0.833274971,1.043209877,1.025825702,33,0
7,0.305305041,0.129174859,0.036457182,-0.025481852,0.540330286,0.191400206,0.049770734,0.319251246,Denver Nuggets,2005,0.047593529,0.084743188,-0.009347026,-0.014020539,0.075074553,0.028184144,0.21855826,-0.076724149,1.00308642,1.023767877,49,0
8,-0.231531738,0.060459751,0.138098279,0.076159244,0.537501332,0.023907131,0.190064079,0.005617186,Orlando Magic,2005,0.003242846,-0.064046202,-0.027945699,0.056082155,1.123115307,0.116885511,0.001096845,0.175507842,1.047325103,1.023767877,36,0
9,-0.049723015,-0.111328018,0.126645761,-0.108512608,0.446974792,0.199989595,0.121348972,-0.099271881,Philadelphia 76ers,2005,0.19066025,-0.022556853,0.308261094,-0.046925884,0.657653081,0.092564168,0.292952955,0.465469097,1.027777778,1.019652228,43,0
10,-0.368961954,-0.086991418,-0.195456307,0.080453939,0.404540476,-0.090618048,-0.109132952,0.982240808,Oklahoma City Thunder,2005,-0.066859847,-0.012542183,-0.39133517,-0.078400563,-0.135134195,-0.154941259,-0.149123212,0.777908012,0.99382716,1.017594403,52,0
11,-0.104122476,-0.078402029,0.090856643,0.061843597,0.353619297,-0.155038462,-0.018944373,0.326579151,Los Angeles Lakers,2005,0.366632316,0.030377834,0.007820981,0.054651487,1.105097415,0.015308139,-0.320803277,0.424872647,1.046296296,1.015536578,34,0
12,0.094865024,0.030396891,-0.016510713,0.120537752,0.350790343,0.036791214,-0.110564517,-1.030483717,Golden State Warriors,2005,0.162046906,0.026085832,0.462773153,0.103294172,0.903897614,-0.066239892,0.096951548,0.24422519,1.038065844,1.015536578,34,0
13,-0.114143429,-0.198653468,-0.078067997,-0.028344982,0.019802681,0.018180872,0.021139439,0.126030759,New York Knicks,2005,-0.068290515,-0.01397285,0.000667645,-0.022604542,0.621617296,-0.020458541,0.008250181,1.235448546,1.025720165,1.001131804,33,0
14,-0.035407368,-0.15713809,-0.060889221,0.000286313,0.008486863,-0.124975602,-0.081933222,-0.12576221,Milwaukee Bucks,2005,0.29796029,-0.041155527,-0.049405708,-0.071247227,0.744739562,-0.007582536,-0.174875222,0.866059879,1.030864198,1.000102891,30,0
15,0.248042452,0.06904914,0.18963461,-0.054113147,-0.101842358,-0.22375357,-0.157806154,0.278330821,Minnesota Timberwolves,2005,0.054746865,-0.108396885,-0.126661737,0.067527492,-0.465462226,-0.109159908,-0.323664611,-0.983427398,0.980452675,0.995987241,44,0
16,0.152127614,0.089091046,-0.136762152,0.189252859,-0.158421445,0.053969991,-0.06904914,-0.705691272,Cleveland Cavaliers,2005,-0.011063826,0.028947166,-0.176735089,-0.066955225,-0.363360835,-0.096283903,0.034002191,0.13933731,0.984567901,0.992900504,42,0
17,0.037602434,0.206479355,0.059362218,0.003149442,-0.231974259,-0.004724164,-0.090522611,0.295522759,San Antonio Spurs,2005,-0.514658683,0.031808501,-0.06371238,-0.13133525,-2.16815308,-0.031903879,0.072630205,-1.73743121,0.909465021,0.989813767,59,1
18,0.223705851,0.033260021,0.010689017,-0.006871511,-0.34230348,-0.02476607,0.144254008,0.19772838,Los Angeles Clippers,2005,-0.018217162,-0.008250181,-0.275451126,0.001716801,-0.174172962,0.031045478,-0.096188525,-0.190398323,0.992798354,0.984669205,37,0
19,-0.016797026,-0.029728828,0.21969747,-0.158617374,-0.492238062,-0.076302401,-0.077638528,0.312620997,Houston Rockets,2005,-0.069721182,-0.091228879,-0.005055024,-0.132765917,-1.516505963,-0.013305205,-0.146261877,-1.384802309,0.936213992,0.97849573,51,0
20,-0.002481379,-0.042612911,0.205381822,0.023191349,-0.636514735,-0.057692059,0.260210752,-0.759211394,Chicago Bulls,2005,-0.042538505,0.050407175,0.109398352,-0.00829787,-0.936930417,0.098286837,0.118411556,-1.461690164,0.96090535,0.972322255,47,0
21,0.070528423,0.059028186,-0.161098753,0.140579658,-0.681778005,0.112664145,0.003960662,-1.98099478,Charlotte Bobcats,2005,0.033286857,0.067575181,0.198099719,-0.036911214,0.750745526,0.011016137,0.154178236,1.140619561,1.030864198,0.97026443,18,0
22,-0.041133627,0.110564517,-0.201182566,-0.140007032,-0.874146903,0.118390404,0.011118486,0.335200411,Memphis Grizzlies,2005,-0.159853216,0.110495197,-0.086603055,0.011731471,-1.492482106,-0.006151869,0.162762239,-0.538894453,0.937242798,0.961004219,45,0
23,0.06050747,0.140627377,0.085130384,0.09906428,-0.896778538,-0.057692059,-0.080501658,-0.601462864,Detroit Pistons,2005,-0.181313224,-0.045447528,-0.181027091,-0.081261897,-1.903890655,-0.009013203,-0.077589852,-1.635607614,0.920781893,0.959975306,54,0
24,-0.366098824,-0.059791688,-0.042278879,-0.167206762,-0.973160306,-0.001861034,-0.023239068,0.286184355,Indiana Pacers,2005,-0.292905266,-0.001096845,-0.045113706,-0.01831254,-1.219210735,-0.096283903,-0.067575181,-0.501311085,0.948559671,0.956888569,44,0
25,0.116338495,-0.035455087,-0.292802709,0.089043327,-0.97598926,-0.107796825,0.147117137,-0.431761119,Utah Jazz,2005,-0.218510571,0.107633863,-0.311217806,-0.179977935,0.015014911,0.042490816,-0.010348493,1.88959527,1.001028807,0.956888569,26,0
26,-0.032544239,0.20791092,-0.062320785,-0.021187158,-0.987305078,-0.047671106,0.170022173,-0.347018761,Portland Trail Blazers,2005,0.255040274,0.02179383,-0.193903095,0.234915555,-0.063062624,0.119746845,-0.124801869,-0.650163026,0.99691358,0.955859656,27,0
27,-0.187153231,-0.078402029,-0.161098753,0.164916259,-1.032568348,0.018180872,0.185769385,-1.554315901,Atlanta Hawks,2005,0.083360209,0.121940535,0.050740997,-0.118459245,1.294285288,0.142637521,0.029710189,2.224009924,1.054526749,0.953801831,13,0
28,0.039033999,-0.12993836,-0.086657386,-0.185817104,-1.340924375,0.048243732,-0.03612315,-1.032892966,New Jersey Nets,2005,-0.112641198,0.004625824,0.079354341,-0.158517927,-1.054046719,-0.021889208,0.134148895,0.074821462,0.955761317,0.94042597,42,0
29,-0.029681109,-0.127075231,-0.238403249,0.048959514,-2.031189243,-0.094912743,0.039749781,-2.227025942,New Orleans Hornets,2005,-0.00391049,0.076159184,0.053602331,-0.05407922,-0.414411531,0.02532281,-0.030377834,0.768487318,0.982510288,0.909558597,18,0
30,0.694729891,0.037914176,0.295588398,-0.196727183,2.853298336,-0.055070341,-0.133600079,2.467458554,Phoenix Suns,2006,-0.205622085,-0.147178126,0.417178772,0.158999853,1.321348358,0.004652728,0.051322437,-0.4939311,1.059720981,1.117372183,54,0
31,0.00800937,-0.112794675,-0.297294536,0.137391497,1.397533879,0.048719717,0.037013715,1.133100014,Oklahoma City Thunder,2006,0.402555913,0.019465494,-0.17960479,0.123392242,1.954263118,0.014622859,0.01713913,1.965223306,1.088584977,1.057586586,35,0
32,-0.23795885,-0.065875882,-0.139476777,0.168670693,1.167676333,0.099903855,-0.05540209,0.142774869,Washington Wizards,2006,0.107724893,-0.063144164,0.049708225,0.067844368,0.635690702,-0.072259712,0.205147317,0.748227355,1.028795272,1.048309511,42,0
33,-0.138434137,-0.16113525,-0.214831202,-0.074453964,1.017502737,-0.083505974,-0.157770367,0.947030674,Toronto Raptors,2006,0.352705257,-0.037506684,0.138015101,-0.115890905,1.601718493,-0.099321497,-0.024165699,2.100653883,1.072091265,1.042124794,27,0
34,0.327910234,0.110425039,0.062416213,-0.019004481,0.8336167,0.15677512,0.048387968,-0.048599689,Denver Nuggets,2006,0.382615651,0.072164759,0.03831379,0.069268673,0.702313308,-0.002468794,0.200874404,-0.083665642,1.031887843,1.033878505,44,0
35,0.002322243,0.080567625,0.331132939,-0.082984654,0.723285078,-0.093458445,0.005734519,1.501417871,Miami Heat,2006,-0.134406863,-0.124389255,-0.118359699,-0.128709645,-0.224851296,-0.03950071,-0.169444752,-0.62856725,0.989622706,1.02975536,52,1
36,0.062037071,-0.050236284,0.065259776,0.076254887,0.609888688,0.057250406,-0.05540209,0.261667496,Los Angeles Lakers,2006,0.056449933,-0.044628206,-0.061387522,-0.033281247,-0.016655652,-0.073684017,-0.03413583,-0.244164624,0.998900419,1.024601429,45,0
37,-0.05312724,0.026539924,-0.024312466,-0.061657929,0.588435318,0.089951384,-0.032653584,0.181345267,Philadelphia 76ers,2006,0.272944208,0.000949536,0.129469274,0.082087413,0.977131559,0.060200601,0.123961963,0.500867738,1.044258127,1.024601429,38,0
38,-0.309047931,0.145969579,-0.015781776,0.161561784,0.536334274,0.00748805,-0.09947732,1.048882724,Dallas Mavericks,2006,-0.366568487,0.020889799,-0.332005366,0.026539539,-0.896629243,-0.073684017,-0.044105961,-0.605543981,0.959727854,1.021509071,60,0
39,0.191419198,-0.122747146,0.043933052,-0.091515343,0.462779859,0.028814774,0.02421768,0.598734767,Sacramento Kings,2006,0.060722846,0.025162712,0.086740141,0.052177019,0.069398548,0.097232517,0.024260652,-0.432904444,1.003023847,1.019447499,44,0
40,0.005165807,-0.040283812,0.060994431,0.090472704,0.370836841,0.023127648,-0.036918929,-1.088510783,Golden State Warriors,2006,0.196031768,0.033708539,0.313204547,0.097754762,0.644018528,-0.016711839,0.108294615,0.025144925,1.028795272,1.015324354,34,0
41,0.036445002,0.052131993,-0.014359994,-0.146964827,0.239051848,-0.013838674,0.251702739,1.143287891,Boston Celtics,2006,0.103451979,0.026587016,-0.104116655,-0.009068072,0.566292154,0.142810259,0.039928001,0.293254224,1.025702701,1.010170423,33,0
42,0.111799428,-0.163978813,0.008388512,0.017961841,0.199209873,0.013175176,0.021374117,-0.052838005,Milwaukee Bucks,2006,0.223093553,0.040830061,0.046859616,-0.120163818,0.416391289,0.026017295,4.75E-05,0.812924017,1.018486702,1.008108851,40,0
43,0.161561784,-0.057345192,0.227342881,-0.014739136,0.199209873,-0.113363388,0.059762221,-0.612627818,Chicago Bulls,2006,-0.054645814,0.049375887,0.14086371,-0.050372901,0.036087245,0.033138817,0.065565481,-0.651609812,1.00199299,1.008108851,41,0
44,-0.18535293,0.009478544,0.097960753,0.06061529,0.144044062,-0.029478272,-0.06393278,0.205977349,Cleveland Cavaliers,2006,-0.034705552,-0.040355293,-0.030052824,-0.155771429,-0.377528102,-0.067986799,-0.146655881,-0.199550784,0.983437564,1.006047279,50,0
45,-0.092937125,0.012322107,-0.298716318,0.217011268,0.052101044,-0.00104264,0.145069118,-0.135451547,Atlanta Hawks,2006,-0.001946549,0.052224496,-0.152543006,0.092057544,1.129808365,0.013198555,0.064141177,1.326834861,1.051474125,1.001924134,26,0
46,0.025070749,0.167296304,0.372364606,-0.125638102,0.045971509,-0.076397066,0.004312738,0.297558245,Los Angeles Clippers,2006,0.106300588,-0.043203901,-0.014385475,-0.083131903,-0.31645738,-0.025257665,-0.183687797,-1.092004595,0.985499278,1.001924134,47,0
47,0.037866784,-0.044549157,-0.244688616,0.10469052,-0.036777207,0.33307604,-0.021279332,-2.010922379,Charlotte Bobcats,2006,0.271519904,0.079286281,0.32032607,0.033661062,0.87719765,-0.015287534,0.40170133,1.245374796,1.040134699,0.998831776,26,0
48,0.398999315,0.148813143,-0.135211432,0.083363795,-0.042906742,-0.010995111,-0.356819793,-0.016222413,Detroit Pistons,2006,-0.212743607,-0.142905213,-0.061387522,0.049328411,-1.557303422,-0.152020761,-0.052651788,-1.196430095,0.929833001,0.99780099,64,0
49,-0.316156839,-0.162557032,-0.116728271,0.167248911,-0.346318702,-0.046539652,0.379663085,-0.129805471,New York Knicks,2006,0.076390195,0.073589063,-0.23087975,-0.047524292,1.143688075,0.122869997,-0.039833048,1.457483501,1.051474125,0.985431556,23,0
50,0.037866784,0.116112165,0.150566673,-0.092937125,-0.361642539,-0.063601031,-0.079572378,0.795997521,San Antonio Spurs,2006,-0.504726018,-0.060295555,-0.035750042,-0.043251378,-1.879312686,0.016047163,-0.065470528,-1.938028018,0.915401003,0.985431556,63,0
51,-0.277768735,-0.033174904,-0.057013443,-0.034644079,-0.524075205,-0.079240629,0.082510727,0.547772436,Orlando Magic,2006,-0.066040249,0.000949536,-0.289276233,-0.007643767,-0.23040318,0.038836035,-0.118169792,0.066544708,0.989622706,0.978216053,36,0
52,-0.084406435,0.033648832,0.166206271,-0.026113389,-0.784580423,0.014596958,0.102415669,-0.202914843,Indiana Pacers,2006,-0.242654001,0.019465494,-0.037174346,0.073541586,-1.140912133,0.104354039,-0.099653834,-1.495823894,0.948388427,0.967908191,41,0
53,0.275304314,-0.15260456,0.137770639,-0.134168792,-0.809098562,-0.042274307,-0.089524849,-0.550950092,New Jersey Nets,2006,-0.070313163,-0.080235817,0.223473367,-0.184257518,-1.043754165,0.001804119,-0.007074045,-0.539379176,0.952511855,0.966877405,49,0
54,-0.243645976,-0.105685767,-0.08971442,0.002322243,-1.054279944,0.033080119,-0.123647608,-1.528531708,New Orleans Hornets,2006,-0.151498516,0.066467541,0.079618618,-0.080283294,-0.313681438,-0.086502757,0.021412043,0.623395672,0.985499278,0.956569544,38,0
55,0.116064773,0.151656706,-0.088292638,0.219854831,-1.1707411,-0.090614882,0.153599807,-1.228392881,Utah Jazz,2006,-0.255472741,0.110620979,-0.292124842,-0.064615945,-0.46080636,0.107202648,-0.022741394,0.458753796,0.979314136,0.952446399,41,0
56,-0.148386608,0.080567625,-0.08971442,-0.117107413,-1.21671261,0.017440521,-0.068198125,0.094894322,Memphis Grizzlies,2006,-0.121588123,0.100650847,-0.054265999,0.015145104,-1.943159351,0.013198555,0.044200915,-1.088266,0.912308432,0.950384827,49,0
