,AST,BLK,DRB,ORB,PTS,STL,TOV,TS,Year,aAST,aBLK,aDRB,aORB,aPTS,aSTL,aTOV,aTS
0,1745.0,399.0,2448.0,985.0,7970.0,616.0,1189.0,0.5293373785247095,2005.0,1745.0,399.0,2448.0,985.0,7970.0,616.0,1189.0,0.5293373785247095
1,1690.0,385.0,2442.0,916.0,7955.0,588.0,1182.0,0.5356123284424622,2006.0,1690.0,385.0,2442.0,916.0,7955.0,588.0,1182.0,0.5356123284424622
2,1746.0,378.0,2454.0,912.0,8097.0,594.0,1241.0,0.5414807562674542,2007.0,1746.0,378.0,2454.0,912.0,8097.0,594.0,1241.0,0.5414807562674542
3,1784.0,388.0,2524.0,918.0,8194.0,597.0,1157.0,0.5403017355066729,2008.0,1784.0,388.0,2524.0,918.0,8194.0,597.0,1157.0,0.5403017355066729
4,1720.0,394.0,2481.0,905.0,8196.0,596.0,1151.0,0.5443850494702275,2009.0,1720.0,394.0,2481.0,905.0,8196.0,596.0,1151.0,0.5443850494702275
5,1742.0,398.0,2523.0,899.0,8237.0,592.0,1166.0,0.542928027926156,2010.0,1742.0,398.0,2523.0,899.0,8237.0,592.0,1166.0,0.542928027926156
6,1763.0,399.0,2499.0,895.0,8163.0,601.0,1169.0,0.5413761818355458,2011.0,1763.0,399.0,2499.0,895.0,8163.0,601.0,1169.0,0.5413761818355458
7,1384.0,336.0,2033.0,750.0,6353.0,507.0,962.0,0.5271254281390224,2012.0,1384.0,336.0,2033.0,750.0,6353.0,507.0,962.0,0.5271254281390224
8,1814.0,421.0,2537.0,915.0,8041.0,639.0,1192.0,0.5346466451770764,2013.0,1814.0,421.0,2537.0,915.0,8041.0,639.0,1192.0,0.5346466451770764
9,1804.0,386.0,2611.0,895.0,8283.0,630.0,1201.0,0.5408804538615848,2014.0,1804.0,386.0,2611.0,895.0,8283.0,630.0,1201.0,0.5408804538615848
10,1807.0,393.0,2657.0,893.0,8201.0,634.0,1177.0,0.5341891476422984,2015.0,1807.0,393.0,2657.0,893.0,8201.0,634.0,1177.0,0.5341891476422984
11,1828.0,406.0,2734.0,854.0,8419.0,643.0,1179.0,0.5412031822927112,2016.0,1828.0,406.0,2734.0,854.0,8419.0,643.0,1179.0,0.5412031822927112
12,1855.0,389.0,2737.0,831.0,8658.0,632.0,1144.0,0.5523233560437878,2017.0,1855.0,389.0,2737.0,831.0,8658.0,632.0,1144.0,0.5523233560437878
