TeamID,Team,Year,dPTS,PTS,aPTS,Ring,W,Playoffs
339,San Antonio Spurs,2016,2.894928229,0.23245528,-2.662472949,0,67,1
330,Golden State Warriors,2016,2.881693718,3.28056607,0.398872352,0,73,1
360,Golden State Warriors,2017,2.875138946,2.535977034,-0.339161912,1,67,1
300,Golden State Warriors,2015,2.417547924,2.363892921,-0.053655003,1,67,1
391,Houston Rockets,2018,2.37074841,1.617989165,-0.752759245,0,65,1
242,Oklahoma City Thunder,2013,2.317238998,1.893967847,-0.423271151,0,60,1
393,Toronto Raptors,2018,2.184057352,1.431298108,-0.752759245,0,59,1
227,Chicago Bulls,2012,2.153996777,0.023098839,-2.130897938,0,62.12121212,1
100,Boston Celtics,2008,2.03694163,0.12256603,-1.9143756,1,66,1
244,Miami Heat,2013,2.024480512,1.191269585,-0.833210927,1,66,1
331,Oklahoma City Thunder,2016,1.953490565,2.026617163,0.073126598,0,55,1
60,Phoenix Suns,2007,1.952296591,2.881609119,0.929312528,0,61,1
17,San Antonio Spurs,2005,1.936178821,-0.231974259,-2.16815308,1,59,1
275,San Antonio Spurs,2014,1.88470923,1.050750836,-0.833958394,1,62,1
73,San Antonio Spurs,2007,1.877027238,-0.055179749,-1.932206987,1,58,1
373,San Antonio Spurs,2017,1.83814937,-0.063024281,-1.901173651,0,61,1
211,San Antonio Spurs,2012,1.818848921,1.878705605,0.059856684,0,62.12121212,1
122,Los Angeles Lakers,2009,1.809802731,1.679436082,-0.130366649,1,65,1
306,San Antonio Spurs,2015,1.777697716,0.754125349,-1.023572367,0,55,1
155,Orlando Magic,2010,1.7333582,0.576007651,-1.157350549,0,59,1
132,Cleveland Cavaliers,2009,1.720497069,0.079274081,-1.641222988,0,66,1
270,Los Angeles Clippers,2014,1.688580715,1.673527314,-0.015053401,0,57,1
248,Los Angeles Clippers,2013,1.684465429,0.747936347,-0.936529082,0,56,1
187,Miami Heat,2011,1.663343685,0.632141846,-1.031201839,0,58,1
68,Dallas Mavericks,2007,1.648741589,0.318816328,-1.329925261,0,67,1
337,Cleveland Cavaliers,2016,1.628587764,0.445266453,-1.183321311,1,57,1
243,San Antonio Spurs,2013,1.620735612,1.227460054,-0.393275558,0,58,1
309,Atlanta Hawks,2015,1.581472259,0.603300279,-0.97817198,0,60,1
0,Phoenix Suns,2005,1.565095493,3.066586546,1.501491053,0,62,1
390,Golden State Warriors,2018,1.560258068,1.916039801,0.355781732,0,58,1
216,Miami Heat,2012,1.555552068,0.565921565,-0.989630503,1,57.15151515,1
301,Los Angeles Clippers,2015,1.553992082,1.595265161,0.041273079,0,56,1
212,Oklahoma City Thunder,2012,1.548993098,1.728563149,0.179570051,0,58.39393939,1
3,Miami Heat,2005,1.544467528,1.009936713,-0.534530815,0,59,1
274,Oklahoma City Thunder,2014,1.540599609,1.245552957,-0.295046652,0,59,1
30,Phoenix Suns,2006,1.531949978,2.853298336,1.321348358,0,54,1
50,San Antonio Spurs,2006,1.517670147,-0.361642539,-1.879312686,0,63,1
48,Detroit Pistons,2006,1.51439668,-0.042906742,-1.557303422,0,64,1
158,Cleveland Cavaliers,2010,1.501029623,0.414481696,-1.086547927,0,61,1
199,Chicago Bulls,2011,1.483759081,-0.23321738,-1.716976461,0,62,1
130,Boston Celtics,2009,1.48207313,0.231950088,-1.250123042,0,62,1
106,Detroit Pistons,2008,1.472536675,-0.485457609,-1.957994284,0,59,1
38,Dallas Mavericks,2006,1.432963517,0.536334274,-0.896629243,0,60,1
93,Los Angeles Lakers,2008,1.427636469,1.706311398,0.278674929,0,57,1
408,Utah Jazz,2018,1.406102276,-0.586275426,-1.992377702,0,48,1
361,Houston Rockets,2017,1.383439267,2.400925002,1.017485735,0,55,1
185,San Antonio Spurs,2011,1.367920136,1.040272261,-0.327647875,0,61,1
94,Utah Jazz,2008,1.356396325,1.240079833,-0.116316492,0,54,1
